question	answer
How do I reset my password?	Click the "Forgot Password" link on the login page and follow the instructions.
What should I do if I encounter a problem with my account?	Contact our customer support team for assistance.
Can I change my shipping address after placing an order?	Yes, shipping addresses can be changed before the order is dispacthed. Please contact support immediately for any issues.
Do you have a loyalty program?	No, we we have not started loyalty program yet
How do I check my order status?	You can check your order status by logging into your account or using the tracking number.
Do you offer subscription services?	No, we do not offer subscription services.
Can I share my order with someone else?	Yes, you can share your order confirmation or tracking information with others.
What if my item arrives damaged?	If your item is damaged, please contact our customer support team for a replacement.
Can I buy in bulk?	Yes, we offer bulk buying options for many products. Please contact us for more details.
Can I purchase a product for resale?	Yes, we allow resellers. Contact us for wholesale pricing and details.
